id,title,source,postedDate,description,contactEmail,contactPhone,proofLink,category,brokerLeverage
1,PFAS TRI Reporting (9 New PFAS),Federal Register / EPA,06/11/2025,"Codification of 9 PFAS added to TRI for RY2025 (due July 1, 2026): Includes production volumes, exposures, and hazards for TRI-covered facilities. De minimis exemption eliminated; CBI review for identities.",tri.reporting@epa.gov,+1 (202) 564-3810,https://www.federalregister.gov/documents/2025/01/06/2024-31464/implementing-statutory-addition-of-certain-per--and-polyfluoroalkyl-substances-pfas-to-toxics,PFAS,TRI consulting via UEI; partner: EPA TRI team
2,EUDR DDS Submission Tenders,TED.europa.eu,03/11/2025,Tender for Due Diligence Statements (DDS) under EUDR: Plot-level geolocation submission for commodities (cocoa/soy) by 30/12/2025 for large companies; risk benchmarking via TRACES.,ec.eudr@ec.europa.eu,+32 2 295 6789,https://ted.europa.eu/en/,EUDR,DDS geolocation; partner: TraceX
3,BuyAmerica Waiver RFQ,GSA eBuy / FHWA,04/11/2025,"RFQ for BuyAmerica waiver: Sourcing with 65% domestic content for infrastructure; small business set-asides via eBuy, 5-30 day duration with SOW and past performance criteria.",ebuy@gsa.gov,+1 (202) 501-1021,https://www.ebuy.gsa.gov/ebuy/assets/content/eBuy-Buyer_jobaid.pdf,BuyAmerica,23% set-aside; partner: US Steel
4,EPR Packaging Reporting,CAA / Green Dot,05/11/2025,"Reporting of packaging data for EPR: Submission of material weights, polymer types, and end-of-life fate by 15/11/2025 for 2023 data; fees starting 2027.",reporting@calrecycle.ca.gov,+1 (916) 341-6000,https://calrecycle.ca.gov/packaging/,EPR,SKU reporting; partner: Green Dot
5,Green H2 Key Investment (Chile),World Bank,05/11/2025,"Investment for green H2 production: US$1B fund for electrolysis (solar/wind), targeting $0.70-$1.60/kg by 2050; pilot corridors in Chile/Argentina for 2025-2030 rollout.",ppps@worldbank.org,+1 (202) 473-1000,https://blogs.worldbank.org/en/ppps/green-hydrogen-key-investment-energy-transition,H2 Verde,US$1B fund; partner: Corfo Chile
6,RED III Biomass Sustainability,TED.europa.eu,06/11/2025,"Assistance for new sustainability criteria for agriculture/forest biomass under RED III: Policy analysis, stakeholder consultations and reporting for EU 2025 targets (42% renewables).",ener.c1@ec.europa.eu,+32 2 299 11 11,https://ted.europa.eu/en/notice/54230-2019,Renovável,RED III consulting; partner: IRENA
7,EGRE Renewable Guarantees,TED.europa.eu,04/11/2025,"Lead advisor for EGRE facility: Transaction support for €1B+ guarantees for renewable projects (solar/wind) in EU/LAC, including risk assessment and financial structuring for 2025-2030.",ec.egre@ec.europa.eu,+32 2 295 6789,https://ted.europa.eu/en/notice/377975-2025,Renovável,€1B guarantees; partner: EIB LAC
8,PFAS TSCA Reporting Delay,EPA Federal Register,02/11/2025,Delay in PFAS reporting under TSCA: Reporting period begins 11/07/2025 (ends 11/01/2026 for small manufacturers); includes data collection for 2011-2022.,tsca.hotline@epa.gov,+1 (202) 554-1404,https://www.federalregister.gov/documents/2025/05/13/2025-08168/perfluoroalkyl-and-polyfluoroalkyl-substances-pfas-data-reporting-and-recordkeeping-under-the-toxic,PFAS,TSCA audit; partner: 3M portal
9,Scaling Green H2 (Argentina/Brazil),World Bank,04/11/2025,"Scaling H2 for jobs/emissions reduction: RFQ for low-carbon projects in Argentina/Brazil, including $300B investment pipeline for 200+ sites by 2050.",energy@worldbank.org,+1 (202) 473-1000,https://blogs.worldbank.org/en/energy/scaling-green-hydrogen-inclusive-growth-better-jobs-and-lower-emissions,H2 Verde,$300B pipeline; partner: World Bank LAC
10,BuyAmerica Waiver (Manufactured Products),GSA eBuy / FHWA,06/11/2025,"RFQ for BuyAmerica waivers: 65% domestic content for infra; set-asides via eBuy, SOW and past performance.",ebuy@gsa.gov,+1 (202) 501-1021,https://www.ebuy.gsa.gov/ebuy/assets/content/eBuy-Buyer_jobaid.pdf,BuyAmerica,23% set-aside; partner: US Steel
