id,title,source,postedDate,description,contactEmail,contactPhone,proofLink,category,brokerLeverage
1,"PFAS)","EPA","06/11/2025","Codification of 9 PFAS added to TRI for RY2025 (due July 1, 2026): Includes production volumes, exposures, and hazards for TRI-covered facilities. De minimis exemption eliminated; CBI review for identities.","tri.reporting@epa.gov","564-3810","https://www.federalregister.gov/documents/2025/01/06/2024-31464/implementing-statutory-addition-of-certain-per--and-polyfluoroalkyl-substances-pfas-to-toxics","PFAS","team"
2,"Tenders","TED.europa.eu","03/11/2025","Tender for Due Diligence Statements (DDS) under EUDR: Plot-level geolocation submission for commodities (cocoa/soy) by 30/12/2025 for large companies; risk benchmarking via TRACES.","ec.eudr@ec.europa.eu","6789","https://ted.europa.eu/en/","EUDR","TraceX"
3,"RFQ","FHWA","04/11/2025","RFQ for BuyAmerica waiver: Sourcing with 65% domestic content for infrastructure; small business set-asides via eBuy, 5-30 day duration with SOW and past performance criteria.","ebuy@gsa.gov","501-1021","https://www.ebuy.gsa.gov/ebuy/assets/content/eBuy-Buyer_jobaid.pdf","BuyAmerica","Steel"
4,"Reporting","Dot","05/11/2025","Reporting of packaging data for EPR: Submission of material weights, polymer types, and end-of-life fate by 15/11/2025 for 2023 data; fees starting 2027.","reporting@calrecycle.ca.gov","341-6000","https://calrecycle.ca.gov/packaging/","EPR","Dot"
5,"(Chile)","Bank","05/11/2025","Investment for green H2 production: US$1B fund for electrolysis (solar/wind), targeting $0.70-$1.60/kg by 2050; pilot corridors in Chile/Argentina for 2025-2030 rollout.","ppps@worldbank.org","473-1000","https://blogs.worldbank.org/en/ppps/green-hydrogen-key-investment-energy-transition","Verde","Chile"
6,"Sustainability","TED.europa.eu","06/11/2025","Assistance for new sustainability criteria for agriculture/forest biomass under RED III: Policy analysis, stakeholder consultations and reporting for EU 2025 targets (42% renewables).","ener.c1@ec.europa.eu","11","https://ted.europa.eu/en/notice/54230-2019","Renovável","IRENA"
7,"Guarantees","TED.europa.eu","04/11/2025","Lead advisor for EGRE facility: Transaction support for €1B+ guarantees for renewable projects (solar/wind) in EU/LAC, including risk assessment and financial structuring for 2025-2030.","ec.egre@ec.europa.eu","6789","https://ted.europa.eu/en/notice/377975-2025","Renovável","LAC"
8,"Delay","Register","02/11/2025","Delay in PFAS reporting under TSCA: Reporting period begins 11/07/2025 (ends 11/01/2026 for small manufacturers); includes data collection for 2011-2022.","tsca.hotline@epa.gov","554-1404","https://www.federalregister.gov/documents/2025/05/13/2025-08168/perfluoroalkyl-and-polyfluoroalkyl-substances-pfas-data-reporting-and-recordkeeping-under-the-toxic","PFAS","portal"
9,"(Argentina/Brazil)","Bank","04/11/2025","Scaling H2 for jobs/emissions reduction: RFQ for low-carbon projects in Argentina/Brazil, including $300B investment pipeline for 200+ sites by 2050.","energy@worldbank.org","473-1000","https://blogs.worldbank.org/en/energy/scaling-green-hydrogen-inclusive-growth-better-jobs-and-lower-emissions","Verde","LAC"
10,"Products)","FHWA","06/11/2025","RFQ for BuyAmerica waivers: 65% domestic content for infra; set-asides via eBuy, SOW and past performance.","ebuy@gsa.gov","501-1021","https://www.ebuy.gsa.gov/ebuy/assets/content/eBuy-Buyer_jobaid.pdf","BuyAmerica","Steel"
